"id","createdTime","type","link","imageStandardResolutionUrl","caption","code","commentsCount","likesCount","videoViews"
"1506628943011134982_2244996072",2017-05-03 12:09:47,"image","https://www.instagram.com/p/BTonwqMgD4G/","https://scontent.cdninstagram.com/t/s640x640/14063560_889174224558564_138862211144613888_n.jpg","New season now published at www.berliner-philharmoniker.de and www.digital-concert-hall.com","BTonwqMgD4G",13,1204,0
"1394304539322348104_2244996072",2016-11-29 12:41:15,"image","https://www.instagram.com/p/BNZkJdXBfJI/","https://scontent.cdninstagram.com/t/s640x640/14566757_1254351357945526_2045339146628628480_n.jpg","Golden Gate Bridge - one of many highlights on our North American tour. Thanks to everyone for an incredible welcome! Find more pictures on our tour blog @ blog.berliner-philharmoniker.de picture credit: Michael Frohloff","BNZkJdXBfJI",19,1300,0
"1386358360165531150_2244996072",2016-11-18 13:33:36,"image","https://www.instagram.com/p/BM9VZVVDz4O/","https://scontent.cdninstagram.com/t/s640x640/15046857_950194821780426_2992347583919161344_n.jpg","The ultimate challenge - the Berliner Philharmoniker and Sir Simon Rattle recorded all Brahms symphonies direct to disc.
Two microphones only. Analogue on vinyl. No editing. Limited to 1883 copies. 
Authentic beauty @ www.bphr.de","BM9VZVVDz4O",20,1026,0
"1355670285060026173_2244996072",2016-10-07 05:21:53,"image","https://www.instagram.com/p/BLQTvENji89/","https://scontent.cdninstagram.com/t/s640x640/14309683_936909043105300_1511484353937408000_n.jpg","Kirill Petrenko signs contract.

More @ www.berliner-philharmoniker.de","BLQTvENji89",9,1388,0
"1355093460466447734_2244996072",2016-10-06 10:15:50,"image","https://www.instagram.com/p/BLOQlKcjrV2/","https://scontent.cdninstagram.com/t/s640x640/14449185_1102343216524340_8915250941305815040_n.jpg","Andrea Zietzschmann will become the new  general manager of the Berliner Philharmoniker Foundation on 1 September 2017. 
More @ www.berliner-philharmoniker.de","BLOQlKcjrV2",14,750,0
"1326007209964734784_2244996072",2016-08-27 07:06:39,"image","https://www.instagram.com/p/BJm7IgvjglA/","https://scontent.cdninstagram.com/t/s640x640/14072771_1849734968587903_825988655_n.jpg","Wir freuen uns auf Sie!
Mehr Informationen unter 
www.berliner-philharmoniker.de","BJm7IgvjglA",5,491,0
"1325444642993114557_2244996072",2016-08-26 12:28:55,"image","https://www.instagram.com/p/BJk7OFbDI29/","https://scontent.cdninstagram.com/t/s640x640/14027117_1115563521847605_446316837_n.jpg","Today, the 2016/2017 season begins!
Enjoy the season opening concert live online in less than one hour at www.digital-concert-hall.com","BJk7OFbDI29",15,2029,0
"1252088045945013344_2244996072",2016-05-17 07:22:28,"image","https://www.instagram.com/p/BFgT3GmEMRg/","https://scontent.cdninstagram.com/t/s640x640/13181497_1712865375647181_515703377_n.jpg","Thanks to everyone for a great time in Japan!
More pictures @ blog.berliner-philharmoniker.de","BFgT3GmEMRg",8,1552,0
"1249215983178008003_2244996072",2016-05-13 08:16:11,"image","https://www.instagram.com/p/BFWG1FtEMXD/","https://scontent.cdninstagram.com/t/s640x640/13129624_959512287500406_1745582760_n.jpg","Thanks for a wonderful welcome in Taiwan!
Concert recording now in our video archive at www.berliner-philharmoniker.de/dch","BFWG1FtEMXD",7,949,0
"1248589435345356633_2244996072",2016-05-12 11:31:21,"image","https://www.instagram.com/p/BFT4XnkEMdZ/","https://scontent.cdninstagram.com/t/s640x640/13181392_561097027385432_1900849862_n.jpg","NEW Beethoven Edition 
www.berliner-philharmoniker-recordings.com","BFT4XnkEMdZ",5,693,0
"1238302600421492053_2244996072",2016-04-28 06:53:14,"image","https://www.instagram.com/p/BEvVad-kMVV/","https://scontent.cdninstagram.com/t/s640x640/12960130_263193170691829_156748556_n.jpg","New season announced today. Watch live online in less than an hour and later learn more @ www.digital-concert-hall.com","BEvVad-kMVV",7,959,0
"1187767804914353996_2244996072",2016-02-18 13:29:37,"image","https://www.instagram.com/p/BB7zIaHkMdM/","https://scontent.cdninstagram.com/t/s640x640/12750325_445726542304766_269368965_n.jpg","Sibelius recordings @berlinphil garner critical acclaim #Sibelius #Rattle 
More @ www.berliner-philharmoniker.de","BB7zIaHkMdM",1,595,0
"1183282532273144967_2244996072",2016-02-12 08:58:11,"image","https://www.instagram.com/p/BBr3TGdEMSH/","https://scontent.cdninstagram.com/t/s640x640/12599013_1670121696577586_681502085_n.jpg","Claudio Abbado and the Berliner Philharmoniker: The Last Concert 
Find out more at 
www.berliner-philharmoniker-recordings.com","BBr3TGdEMSH",13,711,0
"1140617907845252959_2244996072",2015-12-15 12:11:12,"video","https://www.instagram.com/p/_USfGlkMdf/","https://scontent.cdninstagram.com/t/s640x640/12357580_146009309098306_1388068099_n.jpg","The Nutcracker - 
more @ smarturl.it/bpo-xmas","_USfGlkMdf",16,588,3665
"1135454123459659711_2244996072",2015-12-08 09:11:41,"image","https://www.instagram.com/p/_B8YJnkMe_/","https://scontent.cdninstagram.com/t/s640x640/12317937_1508474722813990_365761602_n.jpg","Happy Birthday, Jean Sibelius! 
More @ www.berliner-philharmoniker.de","_B8YJnkMe_",8,461,0
"1130517329739826591_2244996072",2015-12-01 13:43:09,"image","https://www.instagram.com/p/-wZ4WLkMWf/","https://scontent.cdninstagram.com/t/s640x640/12277548_1523407117975154_791667301_n.jpg","#Steponstage #PerformingArts
@ g.co/performingarts","-wZ4WLkMWf",7,498,0
"1122169981292823669_2244996072",2015-11-20 01:18:27,"image","https://www.instagram.com/p/-Sv6cIkMR1/","https://scontent.cdninstagram.com/t/s640x640/12277371_1643984532539722_673834869_n.jpg","Our home this week - 
Carnegie Hall in New York!
More at
blog.berliner-philharmoniker.de","-Sv6cIkMR1",1,391,0
"1114411326824826668_2244996072",2015-11-09 08:23:24,"image","https://www.instagram.com/p/93LzKFEMcs/","https://scontent.cdninstagram.com/t/s640x640/11249032_1657893941155051_1730684962_n.jpg","Philharmonie de Paris as seen from stage.
Find more pictures from our tour at
blog.berliner-philharmoniker.de","93LzKFEMcs",4,530,0
"1110937358365148449_2244996072",2015-11-04 13:21:14,"image","https://www.instagram.com/p/9q16Q1EMUh/","https://scontent.cdninstagram.com/t/s640x640/11909279_1042779032429510_1694503415_n.jpg","...musical discussions on tour in Paris.
More pictures at 
blog.berliner-philharmoniker.de

picture credit: Monika Rittershaus","9q16Q1EMUh",21,748,0
"1110899859836159268_2244996072",2015-11-04 12:06:44,"image","https://www.instagram.com/p/9qtYlmkMUk/","https://scontent.cdninstagram.com/t/s640x640/11930993_516229415200978_1580336950_n.jpg","On tour - before the first rehearsal in Paris.

picture credit: Monika Rittershaus","9qtYlmkMUk",4,321,0
